"f","r","K","q"
52.3655907851488,0.5,50000,0.000002
52.36559074158,0.500000007450581,50000,0.000002
52.3655872327859,0.5,50000.0080613637,0.000002
52.365587144188,0.5,50000,0.00000200000039107694
22.8411501611583,0.553049257645072,106902.279536759,0.00000380124029368647
84.109741047967,0.748419753943788,1044811.27601401,0.0000260982453613043
22.8411406717342,0.55304676665635,106902.279536759,0.00000380124029368647
22.8410914771339,0.553049257645072,106901.798038126,0.00000380124029368647
22.841099701669,0.553049257645072,106902.279536759,0.00000380122317251753
29.1050186710838,0.42476744918096,87037.5335041737,0.00000283261096056133
22.2517391324832,0.545451081268187,98136.9512673181,0.00000353165352332895
22.2517440381913,0.545453037568342,98136.9512673181,0.00000353165352332895
22.2517348217701,0.545451081268187,98137.0352711333,0.00000353165352332895
22.2517331438869,0.545451081268187,98136.9512673181,0.00000353165705204308
21.8915631465074,0.495983788937699,97023.6504140223,0.00000375477894177342
21.3589401217644,0.414454062031328,90287.8105950474,0.00000401165212541833
15.0086395548069,0.181183186557894,67570.4081357086,0.00000566953574593473
15.0086449060165,0.181183795809788,67570.4081357086,0.00000566953574593473
15.0086537669686,0.181183186557894,67570.3852425442,0.00000566953574593473
15.0086543296161,0.181183186557894,67570.4081357086,0.00000566953372987331
1056236520.38763,0.00208872711832222,17643.6264904448,0.0000370753310483248
26.1528453437106,0.116578399839404,61396.7681026764,0.0000070720696843089
11.5230225444493,0.171414409474534,69191.8948383313,0.00000603360519979413
11.5230386793954,0.171414744768834,69191.8948383313,0.00000603360519979413
11.5230258056454,0.171414409474534,69191.8855837975,0.00000603360519979413
11.5230276884127,0.171414409474534,69191.8948383313,0.00000603360431124939
9.18234919203726,0.157159342579117,73697.9226495544,0.00000691299931834761
9.18235720652501,0.157159388225812,73697.9226495544,0.00000691299931834761
9.18234269410587,0.157159342579117,73697.9145296077,0.00000691299931834761
9.18234522805619,0.157159342579117,73697.9226495544,0.00000691299730115101
2.87188773892415,0.135986837114987,67856.5140864058,0.00000725055368089046
2.2156137999451,0.113432467761895,66607.1384741585,0.00000804753611808114
2.21560231818004,0.113432493940298,66607.1384741585,0.00000804753611808114
2.21560413227568,0.113432467761895,66607.142049145,0.00000804753611808114
2.21560817623674,0.113432467761895,66607.1384741585,0.00000804753685993852
10.8736719626125,0.087104388179274,76106.0078968341,0.0000101112883793176
4.9920213097848,0.109122599846982,74174.2571822716,0.00000870129328849142
-1.68038795524418,0.115213463336155,70471.9606847815,0.00000820274559142199
-1.68039027967356,0.115213452116428,70471.9606847815,0.00000820274559142199
-1.68039037700803,0.115213463336155,70471.9582546902,0.00000820274559142199
-1.68038882424864,0.115213463336155,70471.9606847815,0.00000820274476444409
-2.89536740633395,0.109342950305032,69660.3629529284,0.00000845532474763273
-2.89536708321407,0.109342960004441,69660.3629529284,0.00000845532474763273
-2.89536702383676,0.109342950305032,69660.3647707383,0.00000845532474763273
-2.8953677137745,0.109342950305032,69660.3629529284,0.00000845532554013857
-2.81116002607174,0.104338683067627,69782.6015699256,0.00000879942571548401
-2.97193100971892,0.107422462184057,69412.3289801813,0.00000858430802697559
-2.97193138657145,0.107422472169841,69412.3289801813,0.00000858430802697559
-2.97193118241483,0.107422462184057,69412.3313296402,0.00000858430802697559
-2.9719302676956,0.107422462184057,69412.3289801813,0.00000858430667499967
-2.77108428132331,0.106549144768565,69825.9476266465,0.00000876917741696419
-2.96944056412477,0.107631464860542,69582.3368250958,0.00000860372135377124
-2.97906617505712,0.107519142883972,69490.9607862175,0.00000859328750549986
-2.97906601962477,0.107519133114127,69490.9607862175,0.00000859328750549986
-2.97906629536984,0.107519142883972,69490.9583248152,0.00000859328750549986
-2.97906516467465,0.107519142883972,69490.9607862175,0.00000859328348960385
-2.98464776286775,0.107594188579021,69394.7477967984,0.00000860086913220645
-2.98464750489314,0.107594179611083,69394.7477967984,0.00000860086913220645
-2.98464779301811,0.107594188579021,69394.7493917013,0.00000860086913220645
-2.98464750244573,0.107594188579021,69394.7477967984,0.00000860086847377167
-2.99377939831882,0.107958755694968,69407.4462594017,0.00000861053280633873
-2.99377932161862,0.107958747208014,69407.4462594017,0.00000861053280633873
-2.99377953810838,0.107958755694968,69407.4446537601,0.00000861053280633873
-2.99377927715169,0.107958755694968,69407.4462594017,0.00000861053205263221
-3.00916524705907,0.108650150124911,69200.9245372628,0.00000860067096529617
-3.00916502792532,0.108650141423563,69200.9245372628,0.00000860067096529617
-3.00916528073789,0.108650150124911,69200.9261337343,0.00000860067096529617
-3.00916488127594,0.108650150124911,69200.9245372628,0.00000860067024225981
-3.03978128654231,0.110164395519984,69037.5621793322,0.00000862285507982023
-3.03978139318027,0.110164383155521,69037.5621793322,0.00000862285507982023
-3.03978155523022,0.110164395519984,69037.5603580739,0.00000862285507982023
-3.03978116920964,0.110164395519984,69037.5621793322,0.0000086228545055408
-3.12568214742265,0.110756887865189,68360.060564435,0.00000885221078621372
-3.12568234626828,0.110756896555183,68360.060564435,0.00000885221078621372
-3.12568200130493,0.110756887865189,68360.0622577598,0.00000885221078621372
-3.12568233398805,0.110756887865189,68360.060564435,0.00000885220980055891
-1.65218624879339,0.111971306369303,66646.7831136191,0.00000878861838231703
-3.12860535730309,0.110877734634639,68186.7693206809,0.00000884583089425774
-3.12860438021408,0.110877717360725,68186.7693206809,0.00000884583089425774
-3.12860618590234,0.110877734634639,68186.7770699521,0.00000884583089425774
-3.12860570552323,0.110877734634639,68186.7693206809,0.00000884583230814121
